Student_ID,Age,Gender,Education_Level,Daily_Social_Media_Hours,Daily_AI_Tool_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Physical_Health_Score
STU_00001,19,Male,College,5.32,1.21,7.3,1.41,74.06,98.9
STU_00002,16,Non-binary,High School,5.21,3.89,7.81,2.48,76.13,89.94
STU_00003,25,Male,University,3.61,2.65,6.34,0.06,65.01,76.75
STU_00004,23,Male,University,2.93,1.43,6.12,1.37,74.67,87.38
STU_00005,20,Non-binary,College,6.52,1.64,5.23,1.14,67.74,88.04
STU_00006,25,Female,University,6.04,3.67,6.4,0,59.82,78.03
STU_00007,17,Male,High School,1.98,1.66,7.03,4.44,83.05,97.97
STU_00008,19,Female,College,3.42,5.1,4.82,0,78.76,85.95
STU_00009,22,Female,University,7.85,0.7,7.12,0.4,72.6,82.53
STU_00010,15,Female,High School,6.96,1.6,5.78,1.67,71.83,91.23
STU_00011,19,Male,College,1.57,0.83,9.02,2.04,72.67,92.78
STU_00012,23,Female,University,4.53,0.31,6.6,3.44,82.7,97.33
STU_00013,23,Female,University,5.55,1.07,5.27,0.38,77.62,90.24
STU_00014,20,Male,College,6.98,1.58,6.62,1.88,70.01,73.45
STU_00015,17,Female,High School,4.82,1.74,7.86,0.64,69.99,91.66
STU_00016,16,Male,High School,5.71,0,7.15,1.77,81.84,99.07
STU_00017,20,Female,College,6.83,0.35,7.95,1.31,69.78,92.37
STU_00018,20,Male,College,7.16,2.82,5.21,0,67.64,97.23
STU_00019,15,Female,High School,4.05,1.24,7.54,0.54,87.75,98.67
STU_00020,18,Female,College,4.61,4.37,7.84,0.14,77.65,83.28
STU_00021,17,Male,High School,2.6,2.07,7.32,1.75,74.39,94.22
STU_00022,14,Male,High School,3.82,3.57,7.88,1.21,60,83.5
STU_00023,20,Female,College,3.48,1.83,6.92,2.23,79.13,94.71
STU_00024,24,Female,University,4.03,4.15,7.87,2.98,73.57,96.97
STU_00025,18,Male,College,4.26,0,7.7,0,73.83,86.14
STU_00026,14,Male,High School,6.53,2.69,5.89,0,62.71,86.77
STU_00027,24,Female,University,5.37,5.25,5.73,0.6,59.41,83.85
STU_00028,17,Female,High School,1.3,0,8.01,2.36,64.71,98.92
STU_00029,13,Male,High School,5.88,3.85,5.78,0,72.53,96.97
STU_00030,24,Female,University,3.13,3.21,6.98,3.49,71.18,99.33
STU_00031,22,Female,University,1.78,0,7.26,2.56,84.25,98.46
STU_00032,18,Male,College,1.64,3.13,5.9,1.45,83.09,90.44
STU_00033,25,Male,University,4.92,3.11,6.36,2.64,66.53,88.41
STU_00034,24,Male,University,7.15,2.34,5.59,0.68,75.2,79.62
STU_00035,21,Female,College,3.97,4.55,6.77,0,73.52,74.78
STU_00036,13,Female,High School,6.84,4.31,6.28,2.44,71.34,87.3
STU_00037,23,Female,University,4.71,3.97,6.09,2.16,75.35,94.2
STU_00038,23,Male,University,0,5.02,6.82,2.18,82.76,97.33
STU_00039,22,Male,University,6.03,1.04,4.84,1.62,54.66,94.26
STU_00040,24,Female,University,3.14,1.56,7.79,0.48,84.85,91.02
STU_00041,24,Male,University,2.47,1.31,6.41,0,58.64,81.37
STU_00042,15,Female,High School,6.04,1.58,7.64,0,61.51,97.2
STU_00043,24,Female,University,4.83,1.61,4.37,0,71.45,73.61
STU_00044,19,Male,College,4.33,2.26,7.53,1.12,71.76,89.98
STU_00045,16,Male,High School,4.74,1.81,6.23,0,63.27,92.83
STU_00046,21,Male,College,2.38,0.54,8.72,0,70.57,73.75
STU_00047,15,Male,High School,8.92,3.93,7.26,0,53.67,90.63
STU_00048,17,Female,High School,4.93,0.92,9.46,1.16,67.42,88.01
STU_00049,15,Male,High School,4.9,5.33,7.38,2.22,82.45,90.54
STU_00050,19,Male,College,4.28,3.95,5.53,3.94,85.65,98.47
STU_00051,17,Female,High School,0.46,0.38,8.55,3.71,85.75,91.24
STU_00052,21,Male,College,2.81,2.46,7.11,0.85,85.77,99.15
STU_00053,19,Female,College,1.44,0,6.43,0,74.04,85.14
STU_00054,14,Male,High School,1.2,4.79,7.95,2.25,83.09,92.09
STU_00055,16,Male,High School,0.65,2.51,7.24,1.24,80.2,93.18
STU_00056,21,Male,College,2.91,2.44,9.94,1.19,84.68,99.31
STU_00057,24,Male,University,4.55,2.9,7.03,0.79,82.92,97.82
STU_00058,14,Female,High School,0.94,2.19,6.88,0.7,70.9,88.2
STU_00059,22,Female,University,6.25,1.31,3.94,1.87,61.31,70.21
STU_00060,21,Male,College,5.24,2.33,4.03,2.2,54.09,89.07
STU_00061,22,Male,University,3.92,4.76,5.95,1.06,70.46,90.27
STU_00062,17,Male,High School,9.91,1.5,6.74,1.14,52.6,80.94
STU_00063,14,Male,High School,3.9,5.01,7.71,0.3,71.95,92.11
STU_00064,16,Male,High School,6.5,1.65,7.51,0.63,65.91,86.55
STU_00065,24,Female,University,5.02,2.82,4.15,0.45,79.61,69.99
STU_00066,24,Female,University,8.1,6.03,4.88,1.41,54.98,88.92
STU_00067,19,Male,College,7.21,3.52,5.05,0.79,62.37,67.54
STU_00068,24,Female,University,3.75,3.14,7.65,1.53,82.83,82.63
STU_00069,25,Female,University,3.84,3.68,6.16,0.37,74.99,97.97
STU_00070,20,Male,College,1.15,4.3,8.39,3.87,86.36,99.89
STU_00071,15,Female,High School,4.79,0.99,6.74,0.83,83.07,91.27
STU_00072,13,Female,High School,6.14,3.4,5.85,0,69.01,87.78
STU_00073,16,Male,High School,4.35,2.96,6.37,2.44,81.48,99.48
STU_00074,14,Non-binary,High School,8,0,4.64,0,45.79,78.33
STU_00075,20,Male,College,4.86,2.95,5.85,0.12,56.13,80.15
STU_00076,16,Male,High School,7.62,0.72,6.91,1.01,66.51,77.78
STU_00077,14,Female,High School,4.09,2.7,6.46,0.51,83.48,81.8
STU_00078,18,Male,College,1.6,4.27,5.09,1.05,64.98,85.27
STU_00079,18,Male,College,2.94,0.82,3.76,0.82,77.04,73.34
STU_00080,22,Male,University,4.42,2.29,4.97,0.74,66.17,89.98
STU_00081,16,Female,High School,2.63,1.73,5.63,0,67.75,83.97
STU_00082,18,Female,College,0.36,4.55,8.09,2.37,84.3,99.66
STU_00083,25,Female,University,0,1.51,5.89,1.77,74.89,73.82
STU_00084,14,Female,High School,7.03,2.89,5.59,1.13,50.89,80.44
STU_00085,22,Male,University,5.46,3.64,4.84,0.82,69.94,87.7
STU_00086,24,Male,University,5.19,3.87,6.76,0.41,66.92,82.93
STU_00087,14,Female,High School,4.92,0.76,7.51,1.59,84.73,79.42
STU_00088,22,Female,University,3.13,2.04,7.54,2.68,83.65,99.67
STU_00089,16,Male,High School,6.49,5.38,5.89,1.71,69.79,77.9
STU_00090,20,Male,College,0.15,2.47,7.48,3.72,88,99.75
STU_00091,19,Female,College,0,4.35,8.19,1.05,82.34,99.59
STU_00092,24,Non-binary,University,4,6.2,5.85,0.88,76.6,99.49
STU_00093,21,Female,College,4.82,2.38,6.32,2.58,82.79,99.11
STU_00094,20,Male,College,2.29,4,7.98,0.36,81.44,83.1
STU_00095,17,Non-binary,High School,0.52,4.22,6.89,1.86,86.28,94.94
STU_00096,25,Female,University,5.98,0.05,6.69,2.02,82.18,98.55
STU_00097,14,Female,High School,3.47,3.22,8.25,2.83,84.12,91.91
STU_00098,17,Female,High School,6.24,5.21,5.6,0,51.21,94.11
STU_00099,20,Female,College,7.76,0,7.28,0.89,80.65,96.56
STU_00100,22,Female,University,0.49,2.29,8.02,1.47,84.24,93.65
STU_00101,21,Female,College,5.03,2.71,6.74,0,55.98,61.27
STU_00102,24,Female,University,5.12,2.32,6.67,0.17,72.73,95.27
STU_00103,24,Female,University,6.36,2.14,4.53,1.54,59.99,91.28
STU_00104,24,Male,University,3.17,0.5,9.22,2.95,78.74,99.12
STU_00105,25,Female,University,4.64,3.19,6.23,1.22,83.47,98.83
STU_00106,21,Female,College,6.33,1.16,7.18,0,56.13,91.37
STU_00107,25,Non-binary,University,5.59,1.2,7.73,0.22,79.61,67.92
STU_00108,25,Male,University,8.4,0,6.68,0,69.56,73.93
STU_00109,13,Female,High School,2.33,0,8.67,2.89,83.45,99.9
STU_00110,21,Male,College,5.02,5.16,7.33,2.47,66.75,99.35
STU_00111,19,Female,College,4.28,2.64,4.39,0,73.81,85.39
STU_00112,21,Female,College,3.98,3.83,6.49,2.99,64.25,98.68
STU_00113,20,Male,College,5.97,0.9,3.96,1.99,59.68,83.71
STU_00114,13,Female,High School,4.79,0,6.44,1.11,67.25,88.26
STU_00115,24,Male,University,1.84,1.32,6.06,0,77.17,97.53
